Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,,
1,512,0,0,76.596918,0,60.627417,36.142136,24.142136,15.899495,6.242641,5.828427,5.414214,5.242641,4.414214,4.414214,2.828427,2.414214,2,2,2,2,,,,
2,522,0,521,77.341317,1,140.953319,38.213203,37.79899,12.071068,5.414214,5,4,3,2,2,,,,,,,,,,
3,511,0,510,76.52208,1,243.865007,49.142136,37.213203,27.313708,6.414214,5.414214,5.414214,4.828427,3,2,2,2,,,,,,,,
4,429,0,0,70.114035,1,123.083261,49.526912,6.414214,4.828427,3,2.828427,2.828427,2,,,,,,,,,,,,
5,124,0,0,37.695296,0,7.828427,3,3,3,2.414214,2,2,2,2,,,,,,,,,,,
6,492,0,492,75.085982,1,210.137085,36.384776,19.899495,5.828427,5.414214,4.414214,3,3,2,2,2,,,,,,,,,
7,190,0,0,46.6609,0,25.313708,18.071068,3,2,,,,,,,,,,,,,,,,
8,347,0,0,63.058125,1,71.526912,39.79899,28.899495,22.727922,7.828427,5.414214,4,3.828427,2,,,,,,,,,,,
9,883,1,859,100.59043,0,45.284271,12.242641,7.828427,7.656854,4.414214,3.828427,3.414214,3,2.828427,2,2,2,2,,,,,,,
10,646,1,570,86.038449,1,90.426407,75.112698,64.526912,33.384776,21.485281,14.656854,14.414214,13.071068,12.242641,11.414214,9.656854,7.242641,6.242641,5.414214,5,3.414214,2.414214,2,2,2
11,381,0,0,66.075248,0,14.899495,3,3,2,2,,,,,,,,,,,,,,,
12,309,0,0,59.505287,1,59.769553,42.899495,8.242641,5.242641,2.828427,,,,,,,,,,,,,,,
13,121,0,0,37.236513,1,160.367532,17.899495,16.313708,3.828427,2.414214,,,,,,,,,,,,,,,
14,303,0,0,58.924734,0,22.142136,12.656854,8.656854,7.242641,4,3.414214,2.414214,2,2,2,,,,,,,,,,
15,672,1,672,87.752793,1,148.296465,67.355339,17.313708,9.828427,7.242641,5.828427,3.828427,2,,,,,,,,,,,,
16,799,1,724,95.686287,0,76.941125,58.526912,6.828427,5.414214,4.828427,3.828427,3,3,2,2,2,2,,,,,,,,
17,554,0,0,79.676674,0,15.485281,3.414214,3,2,,,,,,,,,,,,,,,,
18,697,1,696,89.370194,2,339.705627,101.254834,7.656854,6.242641,5.828427,4.828427,4.414214,4.414214,3.414214,3,2.828427,2,2,2,2,,,,,
19,483,0,483,74.39605,2,175.681241,161.367532,33.556349,9.242641,8,5.242641,4.828427,3.414214,2,2,,,,,,,,,,
20,542,0,504,78.809025,1,142.580736,66.426407,8.242641,6.828427,5.828427,5.414214,2,2,,,,,,,,,,,,
21,406,0,0,68.208631,1,112.325902,21.727922,7.828427,6.828427,2,,,,,,,,,,,,,,,
22,715,1,689,90.51683,1,150.296465,89.325902,71.254834,7.414214,6.414214,6.242641,4.414214,3.828427,3.414214,3,2,2,2,2,,,,,,
23,605,1,605,83.263373,1,375.303607,9.828427,7.656854,6.828427,4.414214,3.414214,2.828427,2,2,2,,,,,,,,,,
24,453,0,0,72.048578,1,110.882251,46.455844,30.970563,20.485281,9.656854,9.414214,6.828427,5.242641,3.414214,3,2.828427,2,2,2,,,,,,
25,572,1,572,80.960714,0,55.426407,21.485281,18.485281,12.242641,10.242641,4.414214,4,3.414214,2,2,2,,,,,,,,,
,,,,,,5380.43724,,,,,,,,,,,,,,,,,,,
