Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,
1,454,0,0,72.128058,0,25.727922,17.313708,14.414214,6.828427,6.414214,5.414214,4.828427,3.414214,3,2.414214,2,2,2,2,2,,,,
2,486,0,0,74.626736,2,153.367532,88.941125,25.970563,6.242641,5.242641,3.414214,2.828427,,,,,,,,,,,,
3,306,0,0,59.215722,1,88.497475,53.627417,6.828427,6.242641,6,3,2,,,,,,,,,,,,
4,561,1,561,80.178466,2,151.267027,145.882251,25.071068,10.656854,6.828427,4.414214,4.242641,4,3,2.828427,2,2,2,,,,,,
5,81,0,0,30.466238,0,15.828427,10.656854,5.414214,2,2,2,,,,,,,,,,,,,
6,277,0,0,56.339916,2,128.811183,120.024387,49.455844,30.970563,6.828427,6.414214,4.828427,2.828427,2,2,,,,,,,,,
7,417,0,0,69.126464,0,36.970563,34.142136,10.242641,4,4,2.414214,2,2,,,,,,,,,,,
8,81,0,0,30.466238,0,12.656854,8.828427,6.828427,3,3,3,2,2,2,2,2,,,,,,,,
9,1019,1,1013,108.059613,1,416.315801,35.142136,18.071068,7.414214,6.828427,6.242641,3.414214,3.414214,2,2,2,,,,,,,,
10,1674,1,1533,138.501361,0,134.63961,48.455844,18.485281,11.656854,8.414214,7.828427,6.828427,5.414214,5,4.414214,3.414214,3,2.414214,2,2,2,2,2,2
11,376,0,0,65.640252,0,58.870058,53.79899,8.828427,7.828427,7.828427,5.414214,2.828427,2,2,,,,,,,,,,
12,507,0,507,76.221992,2,104.39697,80.254834,66.455844,32.313708,30.485281,9.828427,7.656854,5.414214,4.828427,2.414214,2,,,,,,,,
13,728,1,728,91.336003,1,94.740115,87.325902,42.142136,35.455844,21.899495,10.656854,7.414214,6.828427,5.828427,4.828427,4.414214,4,3.828427,3.414214,2,2,2,,
14,267,0,0,55.313603,2,92.497475,63.284271,12.071068,8.828427,3.828427,,,,,,,,,,,,,,
15,96,0,0,33.167438,2,42.112698,35.79899,6.828427,5.414214,3,3,2,2,2,,,,,,,,,,
16,258,0,0,54.373359,1,54.941125,40.79899,6,5.414214,3.828427,3.414214,2.828427,2,,,,,,,,,,,
17,465,0,0,72.996627,0,31.041631,11.242641,7.242641,4.414214,4,2,2,,,,,,,,,,,,
18,289,0,0,57.547338,1,68.284271,47.041631,14.242641,9.656854,6.242641,4.828427,3,2,2,2,,,,,,,,,
19,748,1,693,92.582118,1,191.580736,29.627417,27.556349,20.313708,19.071068,13.071068,8.242641,4.414214,2.828427,2.414214,2.414214,2,2,,,,,,
20,372,0,0,65.290168,0,49.627417,6.828427,3,3,3,3,2,2,2,2,2,,,,,,,,
21,395,0,0,67.278277,0,3,3,3,2,2,2,,,,,,,,,,,,,
22,258,0,0,54.373359,1,59.870058,47.455844,38.79899,11.242641,6.242641,4.828427,3.828427,3,3,2,,,,,,,,,
23,188,0,0,46.414667,1,47.041631,34.213203,12.071068,4.414214,2,,,,,,,,,,,,,,
24,349,0,0,63.239587,0,6.656854,6.414214,4,3,2,2,2,,,,,,,,,,,,
25,805,1,805,96.044888,1,102.254834,6.828427,5.414214,5.414214,5.414214,5.414214,5.414214,4.828427,4.414214,3,3,2,2,2,2,2,2,2,
26,711,1,625,90.263281,0,84.59798,50.213203,9.242641,6.828427,,,,,,,,,,,,,,,
27,623,1,581,84.492924,0,53.183766,51.041631,28.970563,6.414214,6.242641,4.828427,4,3.414214,2.828427,2.828427,,,,,,,,,
28,350,0,0,63.330124,0,46.112698,11.656854,10.242641,9.414214,9.242641,4.414214,3.828427,2,2,,,,,,,,,,
29,81,0,0,30.466238,0,10.656854,8.828427,8.656854,5.414214,3,2,2,,,,,,,,,,,,
30,711,1,696,90.263281,1,153.669048,90.112698,59.284271,12.242641,5.414214,5,3.414214,3,3,3,2.414214,2,2,2,2,,,,
31,529,0,517,77.858163,0,19.313708,9.242641,5.828427,5.414214,5.414214,4,3,3,3,3,2,2,2,2,2,2,2,2,2
32,507,0,502,76.221992,1,273.066017,63.669048,41.384776,11.242641,8.656854,8.242641,4.414214,3,2.414214,2,,,,,,,,,
33,280,0,0,56.644185,1,129.882251,38.384776,30.313708,7.242641,5.242641,4.828427,3.414214,3.414214,3,2,2,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6105.610912,,,,,,,,,,,,,,,,,,,,
