 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,233,54.755,53.71,9,255,12758,12758,0,255,232.447
2,47,105.021,29.705,21,168,4936,4936,0,255,45.607
3,37,68.351,35.525,24,134,2529,2529,0,255,36.249
4,249,52.169,27.084,14,142,12990,12990,0,255,247.882
5,88,27.432,18.45,9,90,2414,2414,0,255,87.191
6,40,75.175,23.255,37,125,3007,3007,0,255,39.287
7,239,33.339,18.202,10,118,7968,7968,0,255,238.1
8,122,58.951,40.937,11,251,7192,7192,0,255,121.005
9,65,76.969,32.739,34,181,5003,5003,0,255,63.992
10,60,46.8,28.413,17,133,2808,2808,0,255,58.878
11,28,72.036,17.145,38,126,2017,2017,0,255,27.203
12,19,36.737,11.604,20,56,698,698,0,255,18.358
13,52,44.788,26.899,17,102,2329,2329,0,255,51.461
14,75,55.067,34.339,16,171,4130,4130,0,255,73.733
15,46,46.043,31.502,13,139,2118,2118,0,255,45.016
16,64,82.828,42.264,21,190,5301,5301,0,255,62.585
17,166,36.422,16.442,9,82,6046,6046,0,255,164.536
18,130,48.131,36.672,11,255,6257,6257,0,255,128.821
19,72,28.333,14.32,14,83,2040,2040,0,255,70.98
20,185,29.643,15.269,10,85,5484,5484,0,255,183.606
21,77,19.896,9.691,12,61,1532,1532,0,255,76.16
22,102,35.314,12.313,17,81,3602,3602,0,255,100.935
23,66,102.333,52.133,15,255,6754,6754,0,255,64.522
24,45,141.978,74.9,16,255,6389,6389,0,255,43.738
25,150,61.147,37.507,15,255,9172,9172,0,255,148.519
26,29,35.276,17.316,16,85,1023,1023,0,255,28.425
27,67,34.881,11.355,15,56,2337,2337,0,255,65.869
28,130,37.923,20.558,15,110,4930,4930,0,255,128.889
29,37,37.892,44.655,15,208,1402,1402,0,255,36.497
30,57,43.789,23.3,16,116,2496,2496,0,255,56.436
31,37,48.054,25.824,11,94,1778,1778,0,255,36.028
32,27,75.963,51.991,30,255,2051,2051,0,255,25.962
33,144,19.625,8.967,7,50,2826,2826,0,255,142.708
34,51,96.216,30.3,17,144,4907,4907,0,255,50
35,338,31.139,17.321,8,89,10525,10525,0,255,336.622
36,282,20.468,9.411,9,62,5772,5772,0,255,280.676
37,62,17.339,6.079,11,37,1075,1075,0,255,60.961
38,176,16.273,5.647,8,37,2864,2864,0,255,175.21
39,146,19.616,6.519,10,42,2864,2864,0,255,144.946
40,64,32.938,33.653,12,192,2108,2108,0,255,62.817
41,137,64.036,40.95,11,185,8773,8773,0,255,135.616
42,137,64.036,40.95,11,185,8773,8773,0,255,135.616
43,100,28.2,10.13,13,60,2820,2820,0,255,98.682
44,117,29.94,13.023,10,71,3503,3503,0,255,115.707
45,146,23.027,10.756,12,61,3362,3362,0,255,145.5
46,159,28.874,20.504,12,119,4591,4591,0,255,157.838
47,87,17.391,5.934,10,45,1513,1513,0,255,85.604
48,163,17.975,5.588,11,36,2930,2930,0,255,161.704
49,57,24.825,11.378,12,52,1415,1415,0,255,55.731
50,66,39,21.052,19,107,2574,2574,0,255,64.925
51,365,23.353,18.146,9,108,8524,8524,0,255,363.816
52,296,24.892,15.793,9,76,7368,7368,0,255,294.832
53,239,22.987,11.61,11,65,5494,5494,0,255,237.511
54,55,70.255,28.044,20,118,3864,3864,0,255,54.151
55,72,147.167,80.892,31,255,10596,10596,0,255,70.555
56,140,33.4,41.431,7,240,4676,4676,0,255,138.844
57,65,58.062,39.691,15,133,3774,3774,0,255,64.148
58,163,54.847,33.968,15,165,8940,8940,0,255,161.66
59,215,49.693,31.559,12,146,10684,10684,0,255,214.187
60,103,48.893,50.193,12,197,5036,5036,0,255,101.559
61,140,27.936,21.052,9,111,3911,3911,0,255,138.972
62,221,53.584,59.919,9,255,11842,11842,0,255,220.281
63,70,154.957,97.15,17,255,10847,10847,0,255,69.335
64,216,37.708,17.389,13,107,8145,8145,0,255,214.741
65,365,32.167,27.258,9,250,11741,11741,0,255,364.406
66,84,22.655,11.973,9,55,1903,1903,0,255,83.228
67,247,19.607,10.275,6,67,4843,4843,0,255,246.174
68,167,24.156,13.842,9,87,4034,4034,0,255,165.725
69,178,17.056,7.855,7,49,3036,3036,0,255,176.722
70,153,20.523,13.498,7,69,3140,3140,0,255,152.373
,,,,,,,,,,8753
