Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,,
1,512,0,0,76.596918,0,59.627417,50.59798,37.79899,24.142136,19.313708,5.828427,5.414214,5.242641,4.414214,3.414214,2.414214,2.414214,2,2,2,2,,,,
2,522,0,521,77.341317,1,134.367532,37.384776,37.213203,11.071068,5.414214,5,4,3.414214,2,,,,,,,,,,,
3,511,0,510,76.52208,1,242.693434,49.142136,37.213203,28.142136,6.414214,5.414214,5.414214,3,3,2,2,2,2,,,,,,,
4,429,0,0,70.114035,1,122.254834,52.112698,6,4.828427,3,2.828427,2.828427,2,,,,,,,,,,,,
5,124,0,0,37.695296,0,7.828427,3,3,3,2.414214,2,2,2,2,,,,,,,,,,,
6,492,0,492,75.085982,1,375.646753,36.384776,20.485281,5.828427,5.414214,4.414214,3,3,2,2,2,,,,,,,,,
7,190,0,0,46.6609,0,25.313708,18.071068,3,2,,,,,,,,,,,,,,,,
8,347,0,0,63.058125,2,73.183766,72.941125,31.313708,16.656854,7.828427,7.828427,4,3.828427,2,,,,,,,,,,,
9,883,1,859,100.59043,0,48.041631,21.142136,7.828427,7.656854,4.414214,3.828427,3.414214,3,2.828427,2,2,2,2,,,,,,,
10,646,1,570,86.038449,0,75.526912,70.698485,61.284271,24.727922,15.071068,14.414214,12.414214,11.242641,10.656854,9.414214,7.242641,6.242641,5.414214,5,3.414214,2.414214,2,2,2,2
11,381,0,0,66.075248,0,14.899495,3,3,2,2,,,,,,,,,,,,,,,
12,309,0,0,59.505287,1,74.627417,57.041631,8.242641,5.242641,2.828427,,,,,,,,,,,,,,,
13,121,0,0,37.236513,2,114.497475,86.84062,36.142136,16.313708,3.828427,2.414214,,,,,,,,,,,,,,
14,303,0,0,58.924734,0,18.727922,13.242641,8.656854,7.242641,4,3.414214,2.414214,2,2,2,,,,,,,,,,
15,672,1,672,87.752793,1,149.296465,67.355339,19.313708,10.828427,7.242641,5.828427,3.828427,2,,,,,,,,,,,,
16,799,1,724,95.686287,0,57.941125,34.485281,6.828427,5.414214,4.828427,3.828427,3,3,2,2,2,2,,,,,,,,
17,554,0,0,79.676674,0,7.242641,3.414214,3,2,,,,,,,,,,,,,,,,
18,697,1,696,89.370194,2,312.492424,102.669048,7.656854,6.242641,5.828427,4.828427,4.414214,4.414214,3.414214,3,2.828427,2,2,2,2,,,,,
19,483,0,483,74.39605,2,312.492424,161.367532,34.970563,9.242641,8,5.242641,4.828427,3.414214,2,2,,,,,,,,,,
20,542,0,504,78.809025,1,133.509668,65.84062,8.242641,6.828427,5.828427,5.414214,2,2,,,,,,,,,,,,
21,406,0,0,68.208631,1,112.325902,21.142136,7.828427,6.828427,2,,,,,,,,,,,,,,,
22,715,1,689,90.51683,1,150.124892,72.012193,10.242641,8.656854,7.414214,4.414214,3.414214,3,2,2,2,2,2,2,,,,,,
23,605,1,605,83.263373,1,382.960461,9.828427,8.828427,7.656854,3.414214,3.414214,2.828427,2,2,2,,,,,,,,,,
24,453,0,0,72.048578,1,114.296465,47.041631,41.213203,20.485281,9.656854,6.828427,5.242641,5,3.414214,3,2.828427,2,2,,,,,,,
25,572,1,572,80.960714,0,56.254834,20.899495,18.485281,13.828427,10.242641,4.414214,4,3.414214,2,2,2,,,,,,,,,
,,,,,,5652.674829,,,,,,,,,,,,,,,,,,,
