Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,,,,,,
1,139,0,0,39.910183,0,23.556349,6.414214,6.242641,5.242641,4.414214,3,2,2,2,,,,,,,,,,,,,,,
2,466,0,0,73.075075,1,91.012193,36.870058,28.727922,10.828427,8.828427,,,,,,,,,,,,,,,,,,,
3,564,1,564,80.392561,1,152.39697,39.870058,24.899495,5.414214,5,3.414214,3,3,2,2,2,2,,,,,,,,,,,,
4,459,0,0,72.524152,2,86.982756,83.355339,11.828427,8.828427,5.414214,5.242641,4.828427,4.414214,3,2.828427,2,2,2,2,2,2,,,,,,,,
5,451,0,0,71.889355,1,326.747258,31.727922,27.142136,19.485281,6.828427,5.414214,4,2,2,2,2,,,,,,,,,,,,,
6,511,0,511,76.52208,1,182.195959,76.426407,54.284271,7.414214,6.414214,2,,,,,,,,,,,,,,,,,,
7,617,1,548,84.085071,1,113.053824,38.556349,27.727922,23.313708,5.414214,5.242641,4,3.828427,3,3,2,2,2,2,,,,,,,,,,
8,698,1,678,89.434282,1,175.308658,63.142136,6.828427,6.828427,5.414214,2,,,,,,,,,,,,,,,,,,
9,539,1,539,78.590617,1,84.870058,41.041631,9.656854,5.828427,3.414214,3,3,2,2,2,,,,,,,,,,,,,,
10,153,0,0,41.871838,0,10.414214,7.828427,6.828427,4.828427,4.414214,4.414214,3,2,2,2,2,2,,,,,,,,,,,,
11,718,1,718,90.706526,2,118.053824,109.053824,25.727922,15.656854,9.242641,7.414214,5.414214,4.414214,2.828427,2.414214,2.414214,2,2,2,,,,,,,,,,
12,640,1,574,85.637958,2,154.195959,114.053824,16.899495,9.242641,8.828427,5.828427,4.414214,2.414214,2,2,2,,,,,,,,,,,,,
13,430,0,0,70.195705,1,76.497475,42.79899,28.727922,20.899495,4.414214,3.414214,2.828427,2,,,,,,,,,,,,,,,,
14,438,0,0,70.845679,0,51.284271,42.142136,34.727922,11.656854,8.828427,5.828427,5.828427,5.414214,5.242641,2,2,2,,,,,,,,,,,,
15,526,1,526,77.637079,0,23.727922,22.313708,6.828427,4.828427,4.242641,2,,,,,,,,,,,,,,,,,,
16,434,0,0,70.521441,0,22.313708,7.656854,7.242641,6.828427,5.414214,3,2.828427,2,2,2,,,,,,,,,,,,,,
17,437,0,0,70.764759,1,198.208153,15.485281,9.414214,7.828427,6.242641,2,,,,,,,,,,,,,,,,,,
18,377,0,0,65.727481,0,5.414214,5.414214,3.828427,3.414214,2,2,2,,,,,,,,,,,,,,,,,
19,553,1,549,79.604731,2,191.379726,141.296465,7.828427,7.242641,5.828427,5.414214,5,4.828427,4.828427,4.414214,4,2.828427,2,2,2,2,2,2,,,,,,
20,522,1,522,77.341317,1,85.811183,43.970563,41.313708,6.242641,5.414214,5,2,,,,,,,,,,,,,,,,,
21,1155,1,943,115.044883,0,54.455844,50.284271,48.627417,34.627417,24.899495,17.313708,15.485281,12.242641,11.485281,8.828427,7.828427,6.828427,4.828427,4.828427,4.414214,3,3,3,2.828427,2,2,2,2,2
22,587,1,587,82.015392,1,193.823376,47.384776,26.899495,16.242641,6.828427,5.414214,4.828427,4.828427,4.414214,3.414214,3,2.828427,2.414214,2,2,2,,,,,,,,
23,871,1,871,99.904578,1,217.651804,55.698485,35.727922,31.899495,19.485281,10.656854,10.656854,9.071068,7.828427,6.242641,5.828427,5.828427,4,4,3,3,2,2,2,2,2,2,,
24,555,1,537,79.748552,1,86.254834,59.627417,31.313708,22.485281,18.899495,5.414214,4.828427,3.414214,3,2,2,,,,,,,,,,,,,
25,867,1,867,99.674912,1,101.84062,37.970563,9.656854,5.414214,4.828427,3,3,2,2,2,,,,,,,,,,,,,,
26,342,0,0,62.602167,0,13.656854,3,3,2,2,2,,,,,,,,,,,,,,,,,,
27,122,0,0,37.390066,0,19.071068,9.656854,7.656854,3,2.828427,2.828427,2,,,,,,,,,,,,,,,,,
28,486,0,0,74.626736,1,101.84062,57.870058,28.556349,15.071068,9.242641,5.828427,4.828427,4.828427,4,2,2,2,,,,,,,,,,,,
,,,,,,5951.711407,,,,,,,,,,,,,,,,,,,,,,,
