Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,
1,454,0,0,72.128058,0,26.071068,17.313708,14.414214,6.828427,6.414214,5.414214,4.828427,3.414214,3,2.414214,2,2,2,2,2,,,,
2,486,0,0,74.626736,2,153.124892,88.355339,27.213203,25.384776,6.242641,5.242641,3.414214,2.828427,,,,,,,,,,,
3,306,0,0,59.215722,1,91.254834,51.213203,6.828427,6.414214,6.242641,3,2,,,,,,,,,,,,
4,561,1,561,80.178466,2,159.095454,103.911688,27.485281,10.656854,6.828427,4.414214,4.242641,4,3,2.828427,2,2,2,,,,,,
5,81,0,0,30.466238,0,15.828427,10.656854,5.414214,2,2,2,,,,,,,,,,,,,
6,277,0,0,56.339916,2,124.053824,111.195959,49.041631,6.828427,4.828427,2.828427,2,,,,,,,,,,,,
7,417,0,0,69.126464,0,36.970563,34.142136,10.242641,4,4,2.414214,2,2,,,,,,,,,,,
8,81,0,0,30.466238,1,37.213203,12.656854,8.828427,3,3,3,2,2,2,2,2,,,,,,,,
9,1019,1,1013,108.059613,1,381.688384,34.313708,19.071068,7.414214,6.828427,6.242641,3.414214,3.414214,2,2,2,,,,,,,,
10,1674,1,1533,138.501361,0,130.882251,48.455844,18.485281,11.656854,8.414214,7.828427,6.828427,5.414214,5,4.414214,3.414214,3,2.414214,2,2,2,2,2,2
11,376,0,0,65.640252,0,58.870058,53.627417,8.828427,7.828427,7.828427,5.414214,2.828427,2,2,,,,,,,,,,
12,507,0,507,76.221992,0,72.426407,68.455844,50.769553,37.384776,30.727922,6.828427,4.828427,4,2.414214,,,,,,,,,,
13,728,1,728,91.336003,1,94.497475,87.083261,42.142136,35.455844,21.899495,10.656854,7.414214,6.828427,5.828427,4.828427,4.414214,4,3.828427,3.414214,2,2,2,,
14,267,0,0,55.313603,2,92.254834,62.213203,12.071068,8.828427,3.828427,,,,,,,,,,,,,,
15,96,0,0,33.167438,2,44.941125,35.79899,6.828427,5.414214,3,3,2,2,2,,,,,,,,,,
16,258,0,0,54.373359,1,54.941125,40.79899,6,5.414214,3.828427,3.414214,2.828427,2,,,,,,,,,,,
17,465,0,0,72.996627,0,31.041631,11.242641,7.242641,4.414214,4,2,2,,,,,,,,,,,,
18,289,0,0,57.547338,1,67.698485,44.627417,14.242641,6.242641,6.242641,4.828427,4.828427,3,2,2,,,,,,,,,
19,748,1,693,92.582118,1,197.066017,46.627417,29.627417,20.313708,13.071068,10.242641,8.242641,4.414214,2.828427,2.414214,2.414214,2.414214,2,,,,,,
20,372,0,0,65.290168,0,51.041631,6.828427,3,3,3,3,2,2,2,2,2,,,,,,,,
21,395,0,0,67.278277,0,3,3,3,2,2,2,,,,,,,,,,,,,
22,258,0,0,54.373359,2,142.539105,55.041631,11.242641,8.656854,6.242641,4.828427,3.828427,3,3,2,,,,,,,,,
23,188,0,0,46.414667,1,47.627417,34.213203,12.071068,4.414214,2,,,,,,,,,,,,,,
24,349,0,0,63.239587,0,5.414214,5.414214,4,3,2,2,2,,,,,,,,,,,,
25,805,1,805,96.044888,0,63.112698,33.970563,8.414214,5.414214,5.414214,5.414214,5.414214,4.828427,4.414214,4.414214,3,3,2,2,2,2,2,2,
26,711,1,625,90.263281,0,83.769553,50.79899,9.242641,6.828427,,,,,,,,,,,,,,,
27,623,1,581,84.492924,0,51.526912,49.455844,23.970563,6.414214,6.242641,4.828427,4,3.414214,2.828427,2.828427,,,,,,,,,
28,350,0,0,63.330124,0,46.112698,13.071068,10.242641,9.414214,9.242641,4.414214,3.828427,2,2,,,,,,,,,,
29,81,0,0,30.466238,0,10.656854,8.828427,7.242641,5.414214,3,2,2,,,,,,,,,,,,
30,711,1,696,90.263281,1,150.154329,81.870058,64.355339,9.656854,5.414214,5,3.414214,3,3,3,2.414214,2,2,2,2,,,,
31,529,0,517,77.858163,0,18.899495,9.242641,5.828427,5.414214,5.414214,4,3,3,3,3,2,2,2,2,2,2,2,2,2
32,507,0,502,76.221992,1,92.012193,63.669048,45.041631,11.242641,8.656854,8.242641,4.414214,3,2.414214,2,,,,,,,,,
33,280,0,0,56.644185,1,395.261977,37.384776,30.313708,7.242641,5.242641,4.828427,3.414214,3.414214,3,2,2,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6106.865748,,,,,,,,,,,,,,,,,,,,
