Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,,
1,290,0,0,57.646814,3,63.59798,62.698485,59.455844,3,2.828427,2,,,,,,,,,,,,,,
2,382,0,0,66.161904,0,54.142136,22.899495,6.242641,4.828427,2,,,,,,,,,,,,,,,
3,655,1,653,86.635715,0,42.870058,21.970563,7.828427,5.414214,5,4.828427,3,3,2,2,2,,,,,,,,,
4,795,1,719,95.446472,2,143.083261,117.426407,9.656854,8.242641,4.414214,3.828427,3,2.828427,2,2,,,,,,,,,,
5,509,0,0,76.372183,0,49.112698,16.071068,7.242641,6,4.828427,4.414214,3.414214,3.414214,3,2,2,2,,,,,,,,
6,108,0,0,35.179381,0,13.656854,9.242641,7.828427,5.828427,5.828427,5.242641,4.828427,2,2,2,,,,,,,,,,
7,245,0,0,52.985783,2,246.663997,87.669048,22.899495,5.828427,5.414214,4.414214,2,2,,,,,,,,,,,,
8,144,0,0,40.62165,0,23.727922,5.414214,4.242641,3,2.414214,2.414214,2,2,,,,,,,,,,,,
9,958,1,958,104.775338,0,47.384776,9.071068,5.414214,5.414214,5.414214,4.414214,3,3,3,2.828427,2.414214,2,2,2,2,2,2,,,
10,104,0,0,34.521764,0,16.071068,7.828427,6.828427,3,3,2,2,2,,,,,,,,,,,,
11,399,0,0,67.618069,0,24.727922,18.071068,15.485281,8.656854,4.828427,3.828427,3,2,,,,,,,,,,,,
12,540,0,0,78.663487,0,25.727922,15.485281,8.656854,7.656854,6.828427,3,2,,,,,,,,,,,,,
13,112,0,0,35.824928,0,25.727922,10.242641,7.828427,6.656854,3.828427,2,,,,,,,,,,,,,,
14,592,0,548,82.36395,1,88.426407,35.313708,4.414214,3.414214,3,2,2,,,,,,,,,,,,,
15,600,1,600,82.918596,0,37.970563,34.970563,6.242641,4.828427,4,3.828427,2,,,,,,,,,,,,,
16,744,1,674,92.334241,0,51.213203,32.556349,15.656854,10.656854,9.242641,6.414214,5.242641,3,2,2,,,,,,,,,,
17,527,0,0,77.710843,1,114.053824,37.213203,27.384776,13.656854,6.414214,4.828427,4.414214,2,2,,,,,,,,,,,
18,411,0,0,68.627349,1,129.367532,52.384776,19.485281,18.727922,5.414214,3.414214,2.414214,2.414214,2,2,,,,,,,,,,
19,151,0,0,41.597266,0,32.970563,15.071068,4.414214,2,2,,,,,,,,,,,,,,,
20,1007,1,992,107.42146,1,132.39697,91.84062,28.79899,26.556349,11.656854,6.828427,6.414214,3,3,3,3,2,2,2,2,2,2,2,,
21,315,0,0,60.080231,0,16.485281,16.071068,12.828427,8.414214,3.828427,3.414214,3.414214,2,2,,,,,,,,,,,
22,857,1,842,99.098419,0,55.870058,38.384776,23.727922,6.414214,6.242641,4,3.414214,3,3,2,2,2,2,,,,,,,
23,81,0,0,30.466238,0,13.828427,12.071068,10.242641,6.414214,3,3,2,2,2,,,,,,,,,,,
24,984,1,877,106.187614,0,42.79899,23.071068,5.828427,5.414214,3.414214,3.414214,3,3,2,2,2,2,2,,,,,,,
25,425,0,0,69.786397,1,187.066017,44.970563,32.556349,6.828427,4.414214,2,2,,,,,,,,,,,,,
26,749,1,640,92.643984,0,49.041631,23.485281,16.656854,6.828427,6.242641,5.414214,4.828427,4.414214,2.828427,2,2,,,,,,,,,
27,313,0,0,59.889196,0,11.656854,8.828427,7.828427,4,3,2,2,2,,,,,,,,,,,,
28,1225,1,1225,118.479813,0,65.941125,41.384776,26.313708,18.485281,6.828427,5.828427,4.414214,3.828427,3,2,2,2,,,,,,,,
29,658,1,594,86.833891,1,93.254834,45.455844,28.970563,15.313708,7.828427,7.242641,6.414214,6.414214,5.828427,2,2,,,,,,,,,
30,718,1,685,90.706526,0,77.083261,40.112698,39.384776,25.727922,7.656854,5.828427,4.414214,3,2.414214,2,2,,,,,,,,,
31,768,1,664,93.811682,1,129.740115,65.941125,53.870058,26.313708,12.656854,8,7.828427,4.828427,4.828427,3,3,3,3,2,2,2,2,2,2,2
32,148,0,0,41.181975,0,3,3,3,3,2,2,2,2,,,,,,,,,,,,
33,491,0,0,75.009636,1,115.083261,44.384776,5.414214,4.414214,4,2.414214,2,2,2,,,,,,,,,,,
,,,,,,4797.374178,,,,,,,,,,,,,,,,,,,
