Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,,,,,,,,
1,342,1,342,62.602167,0,35.384776,16.899495,10.242641,6.414214,6,3,2.414214,2,2,2,,,,,,,,,,,,,,,,
2,123,0,0,37.542991,1,47.627417,11.414214,8.242641,6.242641,3.828427,2,2,,,,,,,,,,,,,,,,,,,
3,100,0,0,33.851375,0,3,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,
4,671,1,658,87.687477,0,19.485281,6.828427,6.828427,5.828427,5.828427,5.828427,4.414214,4,3.828427,3.828427,3,2,2,2,2,,,,,,,,,,,
5,1355,2,961,88.111169,0,80.083261,26.142136,24.313708,21.485281,10.485281,6.828427,6.656854,6.242641,3,3,2.414214,2,2,2,2,,,,,,,,,,,
6,262,0,0,54.793237,0,24.485281,16.899495,7.828427,6.828427,5.414214,3,2,2,,,,,,,,,,,,,,,,,,
7,188,0,0,46.414667,1,53.384776,26.142136,20.485281,11.242641,6.414214,4,3,3,2,2,2,2,,,,,,,,,,,,,,
8,192,0,0,46.905841,0,19.656854,12.071068,11.656854,4.414214,4,4,2,2,2,2,,,,,,,,,,,,,,,,
9,81,0,0,30.466238,0,15.727922,11.071068,8.828427,4,3,3,2,2,2,2,,,,,,,,,,,,,,,,
10,81,0,0,30.466238,0,16.485281,13.071068,8.242641,6.242641,3.414214,2,2,,,,,,,,,,,,,,,,,,,
11,389,1,342,66.765348,0,4.828427,3,3,2,2,,,,,,,,,,,,,,,,,,,,,
12,462,1,414,72.760773,0,30.142136,23.071068,8.242641,4.828427,3.414214,,,,,,,,,,,,,,,,,,,,,
13,2443,4,2285,83.658111,1,103.740115,40.556349,32.899495,21.485281,17.142136,16.242641,10.828427,9.242641,6.828427,5.828427,5.414214,5,4.828427,4.828427,4.414214,3,3,2.414214,2.414214,2,2,2,2,2,2,2
14,149,0,0,41.320869,1,54.941125,27.556349,17.656854,11.242641,4.828427,,,,,,,,,,,,,,,,,,,,,
